Zip,zindex,sd_avg_w,sd_num11,sd_num12,sd_num13,sd_num_avg
91911,372300.0,777.619047619,6802.0,6835.0,7239.0,6958.66666667
96088,185500.0,777.5,105.0,74.0,117.0,98.6666666667
92315,296800.0,777.333333333,568.0,616.0,685.0,623.0
95460,537600.0,777.0,114.0,125.0,121.0,120.0
96114,178500.0,777.0,82.0,69.0,104.0,85.0
95328,138800.0,777.0,332.0,326.0,350.0,336.0
92551,231400.0,776.625,5859.0,5850.0,6129.0,5946.0
92706,494100.0,776.428571429,3626.0,3805.0,3956.0,3795.66666667
94551,563900.0,776.166666667,1035.0,1084.0,1104.0,1074.33333333
93631,223500.0,776.0,1473.0,1509.0,1693.0,1558.33333333
92866,532300.0,776.0,574.0,570.0,572.0,572.0
93601,279900.0,776.0,115.0,121.0,102.0,112.666666667
91761,357500.0,775.909090909,4612.0,4525.0,4754.0,4630.33333333
93117,754600.0,775.9,1468.0,1581.0,1699.0,1582.66666667
96002,209900.0,775.9,2188.0,2212.0,2281.0,2227.0
92840,447800.0,775.615384615,4688.0,4431.0,4779.0,4632.66666667
95519,264500.0,775.6,483.0,553.0,612.0,549.333333333
90744,372200.0,775.5,7018.0,6820.0,5529.0,6455.66666667
95521,276100.0,775.444444444,620.0,682.0,768.0,690.0
92008,718500.0,775.4,1540.0,1489.0,1617.0,1548.66666667
92881,464300.0,775.333333333,2950.0,2904.0,2940.0,2931.33333333
91335,422400.0,775.157894737,6893.0,6888.0,6678.0,6819.66666667
90034,847800.0,775.111111111,2908.0,3155.0,3105.0,3056.0
95666,181100.0,775.0,77.0,88.0,80.0,81.6666666667
91733,395300.0,774.625,3793.0,3789.0,3639.0,3740.33333333
93723,272600.0,774.25,848.0,872.0,884.0,868.0
91350,456400.0,774.222222222,671.0,816.0,843.0,776.666666667
92373,419100.0,774.0,1498.0,1528.0,1582.0,1536.0
95365,96900.0,774.0,549.0,549.0,485.0,527.666666667
95247,324200.0,774.0,49.0,52.0,48.0,49.6666666667
91731,402300.0,774.0,3401.0,3338.0,3377.0,3372.0
93311,266000.0,773.909090909,3196.0,3374.0,1654.0,2741.33333333
95758,293400.0,773.875,2599.0,2700.0,2970.0,2756.33333333
92106,925700.0,773.7,1763.0,1747.0,2070.0,1860.0
93428,619500.0,773.666666667,318.0,322.0,357.0,332.333333333
94536,693800.0,773.642857143,2173.0,2255.0,2402.0,2276.66666667
91605,423200.0,773.625,3717.0,3948.0,3917.0,3860.66666667
95831,356500.0,773.3,2197.0,2338.0,2307.0,2280.66666667
90631,469300.0,773.285714286,4424.0,4352.0,4678.0,4484.66666667
91367,625800.0,773.0,2145.0,2106.0,2019.0,2090.0
95372,206100.0,773.0,159.0,142.0,152.0,151.0
95337,324500.0,772.75,1115.0,1152.0,1192.0,1153.0
90621,467200.0,772.5,2769.0,2708.0,2826.0,2767.66666667
92505,301400.0,772.4,4533.0,4950.0,5891.0,5124.66666667
93536,259400.0,772.307692308,4291.0,4117.0,5209.0,4539.0
93622,126700.0,772.25,1333.0,1413.0,1484.0,1410.0
93630,173300.0,772.2,2599.0,2237.0,2308.0,2381.33333333
92307,200400.0,772.142857143,2945.0,2841.0,2784.0,2856.66666667
91342,404800.0,772.0,8077.0,7839.0,6899.0,7605.0
93442,510500.0,772.0,350.0,404.0,410.0,388.0
95843,304600.0,771.923076923,2987.0,3039.0,3513.0,3179.66666667
90601,432600.0,771.714285714,3101.0,3164.0,2983.0,3082.66666667
