Zip,zindex,di_avg_w,di_num11,di_num12,di_num13,di_num_avg
91755,545500.0,666.0,167.0,162.0,196.0,175.0
91761,357500.0,629.909090909,865.0,834.0,911.0,870.0
91762,325400.0,590.25,1042.0,990.0,1122.0,1051.33333333
91763,332800.0,644.0,726.0,686.0,794.0,735.333333333
91764,302100.0,666.5,535.0,548.0,570.0,551.0
91765,624600.0,728.454545455,658.0,619.0,579.0,618.666666667
91766,326200.0,550.071428571,928.0,793.0,856.0,859.0
91767,331600.0,579.615384615,665.0,576.0,544.0,595.0
91768,319900.0,581.5,460.0,403.0,324.0,395.666666667
91770,490600.0,658.0,656.0,698.0,704.0,686.0
91773,518300.0,728.666666667,556.0,521.0,553.0,543.333333333
91775,753000.0,743.75,124.0,120.0,131.0,125.0
91776,556900.0,579.428571429,384.0,411.0,411.0,402.0
91780,654900.0,715.333333333,415.0,409.0,455.0,426.333333333
91784,586900.0,782.666666667,245.0,251.0,252.0,249.333333333
91786,402400.0,707.444444444,715.0,714.0,757.0,728.666666667
91789,699700.0,751.6,692.0,671.0,708.0,690.333333333
91790,446000.0,713.222222222,364.0,392.0,476.0,410.666666667
91791,517900.0,713.142857143,439.0,451.0,506.0,465.333333333
91792,435700.0,617.5,131.0,126.0,135.0,130.666666667
91801,539300.0,665.285714286,544.0,559.0,551.0,551.333333333
91803,548300.0,662.5,206.0,202.0,197.0,201.666666667
91901,487200.0,687.0,168.0,180.0,146.0,164.666666667
91902,529400.0,747.5,105.0,100.0,115.0,106.666666667
91906,227300.0,595.0,52.0,59.0,57.0,56.0
91910,400100.0,688.4375,1229.0,1148.0,1223.0,1200.0
91911,372300.0,674.15,1355.0,1319.0,1261.0,1311.66666667
91913,457300.0,710.818181818,877.0,877.0,948.0,900.666666667
91914,609900.0,744.75,309.0,283.0,297.0,296.333333333
91915,453700.0,709.75,287.0,322.0,376.0,328.333333333
91932,382600.0,648.4,349.0,362.0,382.0,364.333333333
91935,602900.0,677.75,113.0,106.0,99.0,106.0
91941,514100.0,643.9,509.0,529.0,528.0,522.0
91942,414000.0,672.333333333,186.0,163.0,177.0,175.333333333
91945,348000.0,668.2,212.0,206.0,267.0,228.333333333
91950,317600.0,654.583333333,773.0,788.0,813.0,791.333333333
91962,305100.0,477.0,35.0,35.0,38.0,36.0
91977,359000.0,614.333333333,848.0,815.0,811.0,824.666666667
91978,414200.0,568.0,203.0,217.0,206.0,208.666666667
92004,229600.0,555.0,11.0,17.0,14.0,14.0
92007,860900.0,842.5,79.0,76.0,91.0,82.0
92008,718500.0,684.777777778,636.0,604.0,652.0,630.666666667
92009,736500.0,782.0,728.0,776.0,749.0,751.0
92011,767800.0,701.0,86.0,86.0,95.0,89.0
92014,1606500.0,797.5,66.0,68.0,71.0,68.3333333333
92019,435900.0,675.818181818,845.0,877.0,942.0,888.0
92020,416600.0,647.636363636,498.0,521.0,591.0,536.666666667
92021,382400.0,658.666666667,514.0,580.0,592.0,562.0
92024,803000.0,726.625,538.0,570.0,627.0,578.333333333
92025,434900.0,644.7,659.0,665.0,688.0,670.666666667
92026,412100.0,631.888888889,706.0,791.0,792.0,763.0
92027,367900.0,635.3,645.0,697.0,687.0,676.333333333
92028,487100.0,650.0,510.0,557.0,564.0,543.666666667
92029,630500.0,741.0,55.0,65.0,71.0,63.6666666667
92036,293500.0,664.0,186.0,193.0,229.0,202.666666667
92037,1282800.0,780.2,218.0,219.0,253.0,230.0
92040,408900.0,631.888888889,628.0,661.0,739.0,676.0
92056,412800.0,677.125,516.0,544.0,592.0,550.666666667
92057,382000.0,609.636363636,947.0,1001.0,1080.0,1009.33333333
92058,386200.0,632.5,420.0,518.0,562.0,500.0
92061,480700.0,584.0,21.0,14.0,17.0,17.3333333333
92064,606400.0,732.2,853.0,805.0,845.0,834.333333333
