Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
91732,414100.0,856.0,14.0,16.0,21.0,17.0
95608,430500.0,856.0,68.0,87.0,96.0,83.6666666667
92532,323300.0,856.0,39.0,43.0,12.0,31.3333333333
92506,371000.0,856.0,21.0,20.0,14.0,18.3333333333
93907,385200.0,856.0,29.0,29.0,24.0,27.3333333333
91945,348000.0,856.0,12.0,11.0,12.0,11.6666666667
91978,414200.0,856.0,29.0,25.0,19.0,24.3333333333
95122,499500.0,855.7,470.0,449.0,419.0,446.0
94545,455700.0,855.375,640.0,606.0,632.0,626.0
91744,371600.0,855.333333333,289.0,309.0,279.0,292.333333333
93033,352300.0,855.0,496.0,503.0,454.0,484.333333333
95037,779500.0,854.75,70.0,69.0,66.0,68.3333333333
93901,398700.0,854.666666667,82.0,78.0,77.0,79.0
95843,304600.0,854.166666667,134.0,157.0,134.0,141.666666667
90810,349300.0,854.142857143,733.0,702.0,652.0,695.666666667
94122,980300.0,854.0,65.0,49.0,46.0,53.3333333333
93313,206900.0,854.0,20.0,19.0,18.0,19.0
95212,275800.0,853.714285714,419.0,432.0,408.0,419.666666667
94503,419400.0,853.666666667,327.0,438.0,476.0,413.666666667
95123,683400.0,853.666666667,238.0,243.0,254.0,245.0
92629,776700.0,853.0,32.0,31.0,29.0,30.6666666667
95826,244300.0,853.0,12.0,16.0,16.0,14.6666666667
94044,714100.0,853.0,292.0,308.0,327.0,309.0
94521,499800.0,852.555555556,305.0,300.0,319.0,308.0
94589,236000.0,852.4,808.0,830.0,827.0,821.666666667
94547,457800.0,852.0,558.0,591.0,553.0,567.333333333
95833,272900.0,852.0,29.0,23.0,16.0,22.6666666667
92114,342000.0,851.111111111,1469.0,1412.0,1347.0,1409.33333333
92106,925700.0,851.0,110.0,102.0,106.0,106.0
92084,447300.0,851.0,44.0,41.0,29.0,38.0
94085,732900.0,850.666666667,190.0,193.0,172.0,185.0
94015,701000.0,850.416666667,1714.0,1888.0,1729.0,1777.0
93436,254400.0,849.0,24.0,26.0,30.0,26.6666666667
90804,399100.0,848.5,77.0,74.0,64.0,71.6666666667
91331,357500.0,848.333333333,74.0,77.0,64.0,71.6666666667
94501,727800.0,847.909090909,525.0,535.0,506.0,522.0
95051,859000.0,847.857142857,426.0,429.0,422.0,425.666666667
95834,311500.0,847.0,126.0,130.0,136.0,130.666666667
94401,703600.0,847.0,31.0,43.0,43.0,39.0
93215,147100.0,846.555555556,588.0,589.0,566.0,581.0
93065,485800.0,846.0,244.0,250.0,243.0,245.666666667
95823,185300.0,845.428571429,158.0,164.0,160.0,160.666666667
91932,382600.0,845.0,106.0,102.0,107.0,105.0
90731,496200.0,845.0,68.0,69.0,70.0,69.0
95125,955100.0,845.0,44.0,43.0,43.0,43.3333333333
92103,611200.0,845.0,20.0,15.0,17.0,17.3333333333
95136,707200.0,844.666666667,65.0,77.0,73.0,71.6666666667
92377,317300.0,844.0,13.0,13.0,12.0,12.6666666667
92595,327000.0,844.0,43.0,45.0,15.0,34.3333333333
95112,570500.0,844.0,54.0,55.0,54.0,54.3333333333
93647,128700.0,843.75,98.0,103.0,102.0,101.0
95209,244100.0,843.666666667,610.0,593.0,578.0,593.666666667
92027,367900.0,843.5,101.0,100.0,89.0,96.6666666667
91711,597300.0,843.5,51.0,46.0,35.0,44.0
93722,189900.0,843.5,58.0,51.0,47.0,52.0
95127,548200.0,843.375,355.0,306.0,291.0,317.333333333
94533,262000.0,843.076923077,588.0,683.0,720.0,663.666666667
95356,265900.0,843.0,12.0,23.0,19.0,18.0
90005,685100.0,843.0,171.0,165.0,160.0,165.333333333
91352,396600.0,842.5,109.0,106.0,110.0,108.333333333
91106,554400.0,842.0,31.0,34.0,40.0,35.0
95662,330800.0,842.0,11.0,12.0,15.0,12.6666666667
95363,252000.0,841.666666667,62.0,61.0,63.0,62.0
93955,375500.0,841.25,116.0,109.0,113.0,112.666666667
