Zip,zindex,avg_w
95648,379300.0,830.666666667
95650,473700.0,888.8
95655,301600.0,695.333333333
95658,520100.0,882.0
95660,157400.0,727.3
95661,379100.0,875.777777778
95662,330800.0,854.0
95663,509500.0,877.0
95666,181100.0,815.0
95667,279600.0,831.0
95670,235800.0,739.615384615
95672,382100.0,866.666666667
95677,348700.0,884.8
95678,291300.0,806.636363636
95682,360100.0,882.5
95683,423300.0,915.0
95685,275600.0,681.2
95687,322200.0,800.285714286
95688,405900.0,774.875
95690,291400.0,769.0
95691,295400.0,739.571428571
95692,227300.0,808.333333333
95693,527800.0,890.0
95694,311000.0,761.666666667
95695,263400.0,759.923076923
95709,267200.0,870.0
95713,285700.0,824.0
95722,407200.0,853.0
95726,217800.0,822.0
95742,343900.0,901.0
95746,650400.0,907.4
95747,391600.0,876.75
95757,378600.0,860.0
95758,293400.0,833.25
95762,532600.0,918.444444444
95765,405200.0,865.5
95776,285500.0,760.5
95814,337500.0,748.0
95816,425100.0,863.0
95817,230400.0,657.5
95818,445800.0,767.142857143
95819,424500.0,819.75
95822,194800.0,746.4
95823,185300.0,701.5625
95824,144300.0,733.0
95826,244300.0,801.428571429
95827,224800.0,720.0
95828,203800.0,725.1
95829,301700.0,834.6
95831,356500.0,808.25
95832,170200.0,716.0
95833,272900.0,741.8
95834,311500.0,753.0
95835,305200.0,783.0
95838,199200.0,721.909090909
