Zip,zindex,fi_avg_w,fi_num11,fi_num12,fi_num13,fi_num_avg
92373,419100.0,913.0,69.0,60.0,64.0,64.3333333333
92374,291200.0,860.0,176.0,201.0,193.0,190.0
92376,251800.0,866.0,21.0,20.0,19.0,20.0
92377,317300.0,844.0,13.0,13.0,12.0,12.6666666667
92392,190900.0,880.0,46.0,52.0,58.0,52.0
92399,303100.0,841.0,16.0,14.0,17.0,15.6666666667
92404,197500.0,816.0,12.0,13.0,15.0,13.3333333333
92407,234600.0,882.0,16.0,13.0,16.0,15.0
92408,195700.0,836.0,19.0,18.0,18.0,18.3333333333
92503,292300.0,903.4,127.0,128.0,128.0,127.666666667
92504,274700.0,960.0,29.0,35.0,32.0,32.0
92505,301400.0,892.0,72.0,84.0,72.0,76.0
92506,371000.0,856.0,21.0,20.0,14.0,18.3333333333
92507,280600.0,898.0,18.0,23.0,19.0,20.0
92508,401300.0,920.8,146.0,157.0,166.0,156.333333333
92532,323300.0,856.0,39.0,43.0,12.0,31.3333333333
92543,137100.0,874.0,21.0,20.0,19.0,20.0
92545,211600.0,861.0,94.0,83.0,77.0,84.6666666667
92551,231400.0,905.75,158.0,154.0,150.0,154.0
92553,222100.0,831.0,48.0,40.0,35.0,41.0
92555,296400.0,895.333333333,184.0,200.0,200.0,194.666666667
92557,260600.0,869.75,112.0,121.0,104.0,112.333333333
92562,366100.0,898.166666667,220.0,246.0,215.0,227.0
92563,357400.0,912.916666667,697.0,673.0,638.0,669.333333333
92570,240500.0,837.0,14.0,18.0,16.0,16.0
92571,227300.0,939.333333333,48.0,59.0,54.0,53.6666666667
92583,184500.0,818.0,22.0,22.0,24.0,22.6666666667
92584,309800.0,922.142857143,263.0,274.0,253.0,263.333333333
92585,280300.0,879.666666667,77.0,58.0,63.0,66.0
92586,182700.0,908.0,31.0,30.0,23.0,28.0
92590,855000.0,860.0,29.0,41.0,48.0,39.3333333333
92591,377800.0,899.333333333,320.0,343.0,318.0,327.0
92592,401200.0,901.538461538,648.0,634.0,621.0,634.333333333
92595,327000.0,844.0,43.0,45.0,15.0,34.3333333333
92596,344700.0,904.0,77.0,91.0,79.0,82.3333333333
92602,790000.0,922.75,84.0,82.0,115.0,93.6666666667
92603,990900.0,955.5,34.0,36.0,27.0,32.3333333333
92604,682000.0,921.5,170.0,174.0,178.0,174.0
92606,691400.0,937.5,56.0,57.0,60.0,57.6666666667
92612,659300.0,927.5,58.0,67.0,63.0,62.6666666667
92614,611100.0,949.0,34.0,36.0,30.0,33.3333333333
92618,723800.0,943.0,13.0,25.0,24.0,20.6666666667
92620,768300.0,931.2,133.0,128.0,134.0,131.666666667
92626,641900.0,894.0,37.0,33.0,37.0,35.6666666667
92629,776700.0,853.0,32.0,31.0,29.0,30.6666666667
92630,597800.0,878.6,169.0,178.0,191.0,179.333333333
92646,682100.0,876.0,27.0,23.0,24.0,24.6666666667
92648,797500.0,895.0,18.0,19.0,18.0,18.3333333333
92649,679100.0,885.0,33.0,32.0,31.0,32.0
92653,658300.0,867.666666667,75.0,76.0,69.0,73.3333333333
92656,511400.0,893.333333333,166.0,168.0,172.0,168.666666667
92673,806300.0,874.0,17.0,19.0,13.0,16.3333333333
92675,643900.0,892.0,27.0,38.0,47.0,37.3333333333
92677,727400.0,906.0,12.0,16.0,12.0,13.3333333333
92688,573500.0,932.875,213.0,204.0,210.0,209.0
92691,606600.0,902.125,242.0,226.0,240.0,236.0
92692,634400.0,899.75,82.0,86.0,80.0,82.6666666667
92694,732200.0,945.0,62.0,59.0,64.0,61.6666666667
92701,372000.0,928.0,24.0,26.0,28.0,26.0
92704,416700.0,885.0,16.0,17.0,12.0,15.0
92705,792900.0,941.0,25.0,26.0,24.0,25.0
92708,666300.0,892.0,46.0,41.0,42.0,43.0
92780,574400.0,914.75,98.0,93.0,88.0,93.0
92782,642300.0,892.5,54.0,54.0,50.0,52.6666666667
92801,424600.0,903.666666667,194.0,184.0,181.0,186.333333333
92802,447600.0,893.333333333,57.0,61.0,58.0,58.6666666667
92804,446500.0,877.866666667,511.0,470.0,444.0,475.0
92805,418400.0,872.5,39.0,37.0,37.0,37.6666666667
92806,501000.0,873.666666667,49.0,64.0,56.0,56.3333333333
92807,627100.0,906.0,97.0,98.0,115.0,103.333333333
92808,648200.0,931.5,55.0,46.0,41.0,47.3333333333
92821,576900.0,927.0,103.0,108.0,114.0,108.333333333
92831,534000.0,930.0,123.0,149.0,158.0,143.333333333
