Zip,zindex,hi_avg_w,hi_num11,hi_num12,hi_num13,hi_num_avg,,zindex rank,avg_w rank,,,,
92254,114000,728.5,1203,1293,1285,1260.333333,,23,255,,,,
92256,112600,780,29,33,31,31,,22,691,,,,
92260,321800,825.8,1688,1751,1829,1756,,372,931.5,,,,
92262,312700,764.5,1737,1784,1798,1773,,356,551,,,,
92264,277100,688,564,540,549,551,,298.5,59,,,,
92270,482600,806,195,180,170,181.6666667,,660,856.5,,,,
92276,158500,762,340,335,331,335.3333333,,91,529,,,,
92277,93200,788.2857143,651,670,638,653,,8,757,,,,
92284,136300,739.5,739,723,791,751,,61.5,334,,,,
92285,70400,747,49,38,37,41.33333333,,1,394,,,,
92307,200400,782.8571429,1846,1880,1792,1839.333333,,171,712,,,,
92308,176100,746.8571429,1763,1923,2114,1933.333333,,128,391,,,,
92311,93000,751.8,1809,1859,1825,1831,,7,446,,,,
92313,295500,780,1088,1101,1164,1117.666667,,329,691,,,,
92314,200600,717,151,169,164,161.3333333,,172.5,175,,,,
92315,296800,757.3333333,340,337,360,345.6666667,,332,495,,,,
92316,245900,742.875,5301,5195,4938,5144.666667,,243,368,,,,
92324,212500,716.5333333,7681,7686,7144,7503.666667,,188,172,,,,
92325,165100,749,97,87,85,89.66666667,,105,422,,,,
92335,255000,759.8823529,10557,10306,10331,10398,,255,514,,,,
92336,377900,785.2857143,10076,10038,9889,10001,,465,734,,,,
92337,302100,756.3636364,5382,5850,5868,5700,,338.5,486,,,,
92344,241700,638,902,958,978,946,,235,7,,,,
92345,179000,735.5,8334,8329,8638,8433.666667,,134,295,,,,
92346,264600,768,3228,3226,3259,3237.666667,,274,580.5,,,,
92352,332000,774.75,569,594,605,589.3333333,,391,641.5,,,,
92354,358900,822,226,162,161,183,,432,919,,,,
92356,112300,696,246,173,197,205.3333333,,21,77,,,,
92359,224900,830,160,163,164,162.3333333,,204.5,949,,,,
92371,214900,805,622,686,709,672.3333333,,189,851,,,,
92372,206700,747,85,99,98,94,,181,394,,,,
92373,419100,785.125,1131,1138,1119,1129.333333,,550,732,,,,
92374,291200,761.3636364,4267,4388,4362,4339,,318,523,,,,
92376,251800,738.6842105,9124,9206,9508,9279.333333,,246,327,,,,
92377,317300,770,3281,3400,3459,3380,,361,597.5,,,,
92391,156700,778,114,123,143,126.6666667,,88,671.5,,,,
92392,190900,779.6875,5827,6262,5994,6027.666667,,156,686,,,,
92394,177100,726,432,393,422,415.6666667,,130,227.5,,,,
92395,171100,736.2,4061,3981,4021,4021,,112,300,,,,
92397,242000,825,19,23,25,22.33333333,,236.5,928,,,,
92399,303100,767.5,2076,2280,2344,2233.333333,,341,574,,,,
92404,197500,714.4,6479,6481,5793,6251,,165,158,,,,
92405,173400,707.25,3416,3477,3284,3392.333333,,117.5,116.5,,,,
92407,234600,749.2,5332,5400,5604,5445.333333,,226,425,,,,
