Zip,zindex,wh_avg_w,wh_num11,wh_num12,wh_num13,wh_num_avg,,zindex rank,avg_w rank,,,,
92264,277100,908,167,169,166,167.3333333,,287,897,,,,
92270,482600,887,91,94,87,90.66666667,,619,770.5,,,,
92276,158500,797,52,40,35,42.33333333,,83,210.5,,,,
92277,93200,821.1428571,1375,1332,1258,1321.666667,,7,338,,,,
92284,136300,791,1619,1451,1436,1502,,51.5,181.5,,,,
92285,70400,838,53,51,59,54.33333333,,1,449,,,,
92307,200400,818.8571429,1969,1867,1710,1848.666667,,166,318.5,,,,
92308,176100,792.7142857,2422,2505,2616,2514.333333,,119,190,,,,
92311,93000,783,987,939,874,933.3333333,,6,145.5,,,,
92313,295500,841.6666667,464,453,426,447.6666667,,314,475,,,,
92314,200600,722.5,413,377,368,386,,167.5,28,,,,
92315,296800,849,511,477,486,491.3333333,,317,523.5,,,,
92316,245900,769.75,324,292,266,294,,238,98,,,,
92324,212500,788.7,544,535,319,466,,181,170,,,,
92325,165100,695.5,281,229,217,242.3333333,,97,13,,,,
92335,255000,796.6666667,492,448,403,447.6666667,,249,208,,,,
92336,377900,835,1142,1132,1044,1106,,435,434,,,,
92337,302100,819,431,401,394,408.6666667,,322.5,321,,,,
92344,241700,703,537,552,525,538,,227,18,,,,
92345,179000,794.48,4227,4058,3911,4065.333333,,125,198,,,,
92346,264600,832.8333333,1359,1280,1190,1276.333333,,265,419,,,,
92352,332000,820.75,1548,1474,1399,1473.666667,,364,335,,,,
92354,358900,871,106,73,62,80.33333333,,403,666.5,,,,
92356,112300,734.5,326,231,212,256.3333333,,19,41,,,,
92359,224900,884,102,88,80,90,,198.5,750,,,,
92371,214900,824.75,841,794,778,804.3333333,,183,361,,,,
92372,206700,814,162,154,158,158,,174,293.5,,,,
92373,419100,904.2857143,1394,1351,1273,1339.333333,,512,867,,,,
92374,291200,823.9090909,3428,3396,3249,3357.666667,,303,355,,,,
92376,251800,775.5,304,269,251,274.6666667,,241,117,,,,
92377,317300,832,416,385,352,384.3333333,,341,409,,,,
92391,156700,860,167,155,134,152,,80,602,,,,
92392,190900,814.2666667,1654,1554,1473,1560.333333,,148,295,,,,
92394,177100,772,82,62,66,70,,121,109.5,,,,
92395,171100,794.2857143,1872,1884,1796,1850.666667,,104,197,,,,
92397,242000,877,180,147,158,161.6666667,,229,705,,,,
92399,303100,829.9,3714,3692,3608,3671.333333,,325,397,,,,
92404,197500,771.1538462,776,711,660,715.6666667,,160,106,,,,
92405,173400,733.1428571,249,208,177,211.3333333,,110.5,40,,,,
92407,234600,838.5833333,1345,1219,1137,1233.666667,,218,451,,,,
92408,195700,755.75,137,154,171,154,,159,71,,,,
92501,248200,862,142,142,140,141.3333333,,240,614.5,,,,
92503,292300,825.7857143,1914,1774,1663,1783.666667,,307,370,,,,
92504,274700,842.3333333,1460,1369,1317,1382,,279,479,,,,
92505,301400,826.2222222,774,750,666,730,,319,377,,,,
92506,371000,835.3076923,2382,2350,2134,2288.666667,,420,436,,,,
92507,280600,846.8,573,488,440,500.3333333,,294,512,,,,
92508,401300,887,2770,2610,2676,2685.333333,,471,770.5,,,,
92509,285500,827.6666667,1627,1496,1328,1483.666667,,298.5,386,,,,
92530,254000,858.5555556,1359,1437,1386,1394,,246,590,,,,
92532,323300,881.6,1602,1911,1931,1814.666667,,352,739,,,,
92536,308800,900,100,100,87,95.66666667,,332,842,,,,
92539,179800,777.5,350,342,292,328,,128,123.5,,,,
92543,137100,777.1428571,1167,1144,1070,1127,,53,122,,,,
92544,192300,786.1111111,2393,2175,2082,2216.666667,,149,162,,,,
92545,211600,813.1666667,1540,1404,1353,1432.333333,,179,285,,,,
92549,229500,897,149,126,125,133.3333333,,206,825,,,,
92551,231400,828.75,530,480,469,493,,212,394,,,,
92553,222100,787.3076923,507,480,432,473,,194,166,,,,
92555,296400,827.2857143,740,707,655,700.6666667,,316,384,,,,
92557,260600,834.4545455,1345,1206,1134,1228.333333,,259,430,,,,
92562,366100,875.4444444,4686,4691,4608,4661.666667,,413,699,,,,
