Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg
90250,467300.0,747.25,1811.0,1828.0,1810.0,1816.33333333
90723,321000.0,746.769230769,803.0,785.0,792.0,793.333333333
93436,254400.0,746.666666667,159.0,149.0,150.0,152.666666667
95662,330800.0,746.666666667,78.0,82.0,70.0,76.6666666667
92036,293500.0,746.0,59.0,65.0,80.0,68.0
91724,481800.0,746.0,101.0,99.0,98.0,99.3333333333
95368,242000.0,746.0,48.0,49.0,46.0,47.6666666667
90745,400900.0,746.0,1119.0,826.0,711.0,885.333333333
95304,481900.0,745.666666667,55.0,60.0,65.0,60.0
91107,764300.0,745.666666667,870.0,751.0,695.0,772.0
94709,772100.0,745.0,45.0,44.0,48.0,45.6666666667
91764,302100.0,745.0,192.0,198.0,183.0,191.0
92154,357500.0,744.9,256.0,227.0,213.0,232.0
92377,317300.0,744.833333333,1009.0,879.0,841.0,909.666666667
93003,493400.0,744.75,102.0,96.0,88.0,95.3333333333
93308,173800.0,744.666666667,69.0,61.0,47.0,59.0
92109,718700.0,744.666666667,200.0,158.0,119.0,159.0
90710,472800.0,744.5,568.0,522.0,560.0,550.0
92506,371000.0,744.5,594.0,564.0,490.0,549.333333333
91001,650900.0,744.375,494.0,466.0,466.0,475.333333333
90804,399100.0,744.2,670.0,657.0,710.0,679.0
92220,186500.0,744.0,262.0,257.0,244.0,254.333333333
95240,219500.0,744.0,22.0,26.0,24.0,24.0
93036,405300.0,743.714285714,207.0,179.0,156.0,180.666666667
91722,401500.0,743.666666667,110.0,105.0,88.0,101.0
93455,353800.0,743.0,22.0,24.0,17.0,21.0
94555,722200.0,743.0,80.0,68.0,55.0,67.6666666667
92627,665300.0,743.0,17.0,20.0,15.0,17.3333333333
95403,429600.0,743.0,19.0,17.0,15.0,17.0
92105,318500.0,741.461538462,673.0,623.0,650.0,648.666666667
95376,314800.0,741.352941176,694.0,681.0,704.0,693.0
95307,200600.0,740.666666667,71.0,64.0,60.0,65.0
95687,322200.0,740.222222222,558.0,545.0,495.0,532.666666667
93723,272600.0,740.0,78.0,65.0,63.0,68.6666666667
91977,359000.0,739.916666667,862.0,778.0,723.0,787.666666667
92102,363200.0,739.714285714,587.0,551.0,519.0,552.333333333
95336,257800.0,739.7,369.0,374.0,344.0,362.333333333
92802,447600.0,739.666666667,65.0,62.0,59.0,62.0
95624,329700.0,739.4375,1537.0,1470.0,1451.0,1486.0
94561,337400.0,739.0,459.0,518.0,560.0,512.333333333
92346,264600.0,738.769230769,657.0,634.0,591.0,627.333333333
95826,244300.0,738.5,445.0,444.0,399.0,429.333333333
90038,686200.0,738.0,53.0,53.0,45.0,50.3333333333
90028,653200.0,737.25,183.0,185.0,170.0,179.333333333
90810,349300.0,737.142857143,923.0,833.0,744.0,833.333333333
95991,189300.0,737.0,55.0,65.0,56.0,58.6666666667
93280,134500.0,736.666666667,63.0,58.0,63.0,61.3333333333
92407,234600.0,736.307692308,1091.0,1032.0,1060.0,1061.0
90713,484900.0,735.428571429,1277.0,1265.0,1179.0,1240.33333333
92335,255000.0,734.818181818,352.0,315.0,303.0,323.333333333
