Zip,zindex,avg_w,num11,num12,num13,num_avg
95356,265900.0,811.333333333,1396.0,1982.0,2054.0,1810.66666667
95383,213000.0,811.0,188.0,186.0,196.0,190.0
90631,469300.0,810.785714286,8091.0,7926.0,7780.0,7932.33333333
92116,461600.0,810.6,830.0,856.0,838.0,841.333333333
95831,356500.0,810.6,4233.0,4293.0,4471.0,4332.33333333
94585,286000.0,810.5,1916.0,1947.0,2037.0,1966.66666667
95003,728300.0,810.333333333,2856.0,2857.0,2851.0,2854.66666667
91786,402400.0,810.2,5846.0,5736.0,5729.0,5770.33333333
95938,394100.0,809.0,777.0,754.0,740.0,757.0
92567,262800.0,808.75,1484.0,1520.0,1576.0,1526.66666667
