Zip,zindex,aa_avg_w,aa_num11,aa_num12,aa_num13,aa_num_avg,,zindex rank,avg_w rank,,,,
92821,576900,838,40,49,47,45.33333333,,521,708,,,,
92831,534000,855.5,37,50,49,45.33333333,,491,750,,,,
92832,431400,783,36,34,29,33,,374,502,,,,
92833,471300,807.5,86,75,72,77.66666667,,431,616,,,,
92840,447800,762,22,17,29,22.66666667,,399,418.5,,,,
92845,532100,812,30,24,20,24.66666667,,486,636.5,,,,
92860,467800,790.75,123,132,116,123.6666667,,424,540,,,,
92861,1167100,783,24,20,21,21.66666667,,747,502,,,,
92865,548700,823,11,13,17,13.66666667,,503,662.5,,,,
92867,603300,682,14,16,22,17.33333333,,540,103,,,,
92868,438600,644,16,12,14,14,,385,40,,,,
92869,614000,841,40,38,39,39,,551,717.5,,,,
92870,568400,836,121,114,110,115,,511,702.5,,,,
92879,363300,808.6,150,177,190,172.3333333,,266,621,,,,
92880,489900,832.7142857,901,838,839,859.3333333,,451,688,,,,
92881,464300,808.2,547,542,555,548,,417,618,,,,
92882,407800,819.8,389,404,378,390.3333333,,329,655,,,,
92883,423200,858,133,140,144,139,,358.5,757.5,,,,
92886,678300,853,33,32,29,31.33333333,,604,747,,,,
92887,773900,848,12,11,13,12,,666,734,,,,
93001,494700,777,27,27,28,27.33333333,,454,478.5,,,,
93003,493400,744.75,102,96,88,95.33333333,,453,337,,,,
93010,525600,802,64,62,60,62,,481,591,,,,
93012,517700,819.5,44,48,42,44.66666667,,475,653.5,,,,
93021,573700,834.5,39,38,31,36,,519,694,,,,
93030,420200,725,109,93,96,99.33333333,,355,252.5,,,,
93033,352300,733.5,113,101,80,98,,253,293,,,,
93035,487600,816.5,55,53,52,53.33333333,,449,645,,,,
93036,405300,743.7142857,207,179,156,180.6666667,,325,327,,,,
93041,311800,758,24,23,18,21.66666667,,208,393,,,,
93063,478800,821,14,15,13,14,,436.5,657.5,,,,
93065,485800,685.125,886,1018,926,943.3333333,,444,108,,,,
93066,967300,840,15,20,20,18.33333333,,720,714.5,,,,
93103,1029900,700,31,25,17,24.33333333,,734,159,,,,
93110,1025200,702,21,17,16,18,,733,165.5,,,,
