Zip,zindex,as_avg_w,as_num11,as_num12,as_num13,as_num_avg,,zindex rank,avg_w rank,,,,
92703,387800,907.6666667,231,227,210,222.6666667,,275,427,,,,
92704,416700,886.6153846,765,755,718,746,,327,315,,,,
92705,792900,922.7777778,447,458,501,468.6666667,,683,519,,,,
92707,380100,886.5,191,198,186,191.6666667,,268,313,,,,
92708,666300,932.1538462,3511,3725,3850,3695.333333,,588,573,,,,
92780,574400,912.25,308,300,281,296.3333333,,510,455.5,,,,
92782,642300,973.25,820,805,715,780,,560,788,,,,
92801,424600,901.5,444,437,428,436.3333333,,342,392,,,,
92802,447600,913.1666667,302,309,296,302.3333333,,376,461,,,,
92804,446500,901.5294118,1322,1297,1244,1287.666667,,373,393,,,,
92805,418400,846.3333333,66,61,58,61.66666667,,329,161,,,,
92806,501000,892.1666667,205,190,189,194.6666667,,446,342,,,,
92807,627100,947.375,952,963,948,954.3333333,,551,658,,,,
92808,648200,958.3333333,391,407,406,401.3333333,,566,713,,,,
92821,576900,947.125,814,814,815,814.3333333,,511,656,,,,
92831,534000,949.75,899,972,1038,969.6666667,,477,670,,,,
92832,431400,942.6666667,131,139,138,136,,351,626,,,,
92833,471300,931.5,2220,2181,2167,2189.333333,,412,568,,,,
92835,663700,962.75,517,535,546,532.6666667,,586,742.5,,,,
92840,447800,907,1599,1653,1681,1644.333333,,377,423,,,,
92841,464200,874.0833333,1441,1424,1421,1428.666667,,397,268,,,,
92843,439000,900.3636364,1718,1652,1647,1672.333333,,363,383,,,,
92844,435900,906.625,2370,2499,2470,2446.333333,,357.5,421,,,,
92845,532100,958.8333333,628,682,720,676.6666667,,471,715,,,,
92860,467800,907.2,141,158,160,153,,405,425,,,,
92861,1167100,966,379,399,400,392.6666667,,766,762,,,,
92865,548700,891,20,21,19,20,,493,334,,,,
92866,532300,984,34,24,14,24,,473,821.5,,,,
92867,603300,819,97,68,55,73.33333333,,531,94.5,,,,
92868,438600,897,72,60,54,62,,362,363.5,,,,
92869,614000,940,386,388,376,383.3333333,,543,610.5,,,,
92870,568400,950.1666667,1009,1043,1144,1065.333333,,501,674,,,,
92879,363300,950.5,220,248,272,246.6666667,,247,676,,,,
92880,489900,922.5714286,903,946,999,949.3333333,,435,517,,,,
92881,464300,925.2,500,573,609,560.6666667,,398,535,,,,
92882,407800,932.375,597,654,634,628.3333333,,308,575,,,,
92883,423200,944.75,140,146,142,142.6666667,,337.5,636,,,,
92886,678300,967.5555556,681,734,720,711.6666667,,601,770,,,,
92887,773900,959.5,182,186,186,184.6666667,,672,721.5,,,,
93001,494700,923.5,45,54,54,51,,440,525.5,,,,
93003,493400,917.875,218,226,232,225.3333333,,438,489,,,,
93010,525600,942.75,130,135,125,130,,467,627,,,,
93012,517700,961.6,306,314,308,309.3333333,,461,738,,,,
93021,573700,947,279,278,271,276,,509,653.5,,,,
93023,612300,894,16,22,19,19,,542,351,,,,
93030,420200,883.4,130,120,109,119.6666667,,333,304,,,,
93033,352300,838,15,17,16,16,,232,140,,,,
93035,487600,974,22,23,21,22,,433,790.5,,,,
93036,405300,891,101,115,110,108.6666667,,304,334,,,,
93063,478800,918.1111111,473,473,487,477.6666667,,419.5,491,,,,
93065,485800,901.8666667,772,837,820,809.6666667,,428,395,,,,
93066,967300,925,26,26,17,23,,732,533,,,,
93103,1029900,900,21,21,22,21.33333333,,747,381.5,,,,
93105,1032000,966,15,17,18,16.66666667,,749,762,,,,
93109,1064000,954,14,11,12,12.33333333,,753,695,,,,
93110,1025200,945.3333333,103,96,84,94.33333333,,746,640,,,,
93111,832700,969,58,59,53,56.66666667,,699,777,,,,
93117,754600,948,254,231,236,240.3333333,,660,663,,,,
93210,136300,745,13,14,14,13.66666667,,19,21,,,,
93230,160900,876.7142857,120,129,124,124.3333333,,37,276,,,,
93234,125400,713,12,15,12,13,,10,4.5,,,,
93245,182200,854,33,40,33,35.33333333,,66,191.5,,,,
93247,136200,667,47,46,46,46.33333333,,18,2,,,,
93257,143500,851.5,119,138,136,131,,24,179,,,,
93263,135600,713,15,17,21,17.66666667,,17,4.5,,,,
